brand,image,name,new_price,old_price,rating
Xiaomi,"https://bd.daraz.io/j_l7CEyjcpuhc7aS4SRjVjV6sLQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/41/717/1.jpg?3161",Mi5 Soft Slim Silicone Case Cover,89.00,135.00,17
REMAX,"https://bd.daraz.io/OvprM3ANus_n5ZRrFml6mop20yw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/76/144/1.jpg?3361",Micro USB OTG Plug - Gold,35.00,53.00,19
Smart Gadgets BD,"https://bd.daraz.io/2ViEthDnofGhZWdWRe_fx6pVnrU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/60/2921/1.jpg?3295",Soft TPU Case for iPhone 7 - Transparent,150.00,228.00,1
Xiaomi,"https://bd.daraz.io/u9A2bfjuuXljDZlNTcB0zQ8sUIc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/08/6752/1.jpg?6393",Redmi 4X Hybrid Carbon Fiber Brushed Soft TPU Silicon Armor Case,199.00,302.00,2
Samsung,"https://bd.daraz.io/vVdIWFzpGX5-aq0XlpqWhX-tqJk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/49/4932/1.jpg?0640",Galaxy J7 Max Smartphone 5.7 - 4GB RAM  32GB ROM  Gold,"23,900.00","25,900.00",10
mShop,"https://bd.daraz.io/AHS8cyPsZXhTUaRTXpfF6nwY8Xs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/58/3802/1.jpg?1943",Aluminum Alloy Tripod For Camera and Mobile - 3110 - Silver and Black,460.00,699.00,43
mShop,"https://bd.daraz.io/aJX8r9ELUr2ojMmS8YvnyLCO2Io=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/00/144/1.jpg?3354",Multi-functional Cellphone Stand - Black,75.00,150.00,77
Symphony,"https://bd.daraz.io/3R3QzJUn23-CxW_rTVba5txsKWE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/28/3075/1.jpg?1851","Z9 - Smartphone - 5.5"" - 3GB RAM - 32GB ROM - 13MP Camera - Black","12,000.00","13,990.00",1
Smart Gadgets BD,"https://bd.daraz.io/HbuFf3L1qz-a6B24_G3dGkjrv5c=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/98/1241/1.jpg?2152",Full Coverage Curved Tempered Glass for Galaxy S6 Edge - Gold,335.00,509.00,3
GKK,"https://bd.daraz.io/uVqZgJRrMRstRjk_uP2HqpaVRJI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/14/8615/1.jpg?8379",360 Full Protection Case for Xiaomi Redmi Note 4X - Black and Red,590.00,850.00,5
spigen,"https://bd.daraz.io/AzwzUI3BAt3EiW5a-lTnSi9b0XQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/78/5063/1.jpg?2625",Spigen Rugged Armor Case for iPhone 5/5S/5SE,499.00,758.00,2
Belkin,"https://bd.daraz.io/Qbc-5Euz9o1JmOigJEL5wFHz6DM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/69/319/1.jpg?0268",Stylus Capacitive Touch Pen - Black,299.00,550.00,33
Astrum,"https://bd.daraz.io/qFT4aqeu19MyE2MHOCIfjgOw2rA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/90/349/1.jpg?5485",EB350 Sports Wired Stereo Earbud with Mic - Red,899.00,999.00,0
Astrum,"https://bd.daraz.io/habBHyMoP9hQDuBBntCGW5EW8LA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/72/678/1.jpg?3914",EB230 Elegant In-Ear Headsets + In-wire Mic - Blue,350.00,599.00,4
Nillkin,"https://bd.daraz.io/R3C8iRWSjdsOWhnpcS8lnUU_928=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/56/147/1.jpg?0815",Frosted Case for Xiaomi Redmi 3 Pro and 3S  Black,450.00,650.00,3
OnePlus,"https://bd.daraz.io/RNd_Tl7-Os6NfWT_8svOlV1BJ2U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/19/7052/1.jpg?3355",Sandstone Protective Case for Oneplus 5 - Black,990.00,"1,505.00",9
Hi-Tech,"https://bd.daraz.io/wzIe5Ca0ShhDNecAVB_ZQkCdEjw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/09/576/1.jpg?2143",Monopod Selfie Stick - Black and Blue,120.00,182.00,3
Hi-Tech,"https://bd.daraz.io/UOrVLw9_JuEm1d9IVIiUaqbw1rg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/38/0231/1.jpg?1509",Combo of Tripod Mobile Holder Stand and Monopod Selfie Stick,199.00,300.00,8
